country,date,total,new
Afghanistan,20-01-22,0,0
Afghanistan,20-01-23,0,0
Afghanistan,20-01-24,0,0
Afghanistan,20-01-25,0,0
Afghanistan,20-01-26,0,0
Afghanistan,20-01-27,0,0
Afghanistan,20-01-28,0,0
Afghanistan,20-01-29,0,0
Afghanistan,20-01-30,0,0
Afghanistan,20-01-31,0,0
Afghanistan,20-02-01,0,0
Afghanistan,20-02-02,0,0
Afghanistan,20-02-03,0,0
Afghanistan,20-02-04,0,0
Afghanistan,20-02-05,0,0
Afghanistan,20-02-06,0,0
Afghanistan,20-02-07,0,0
Afghanistan,20-02-08,0,0
Afghanistan,20-02-09,0,0
Afghanistan,20-02-10,0,0
Afghanistan,20-02-11,0,0
Afghanistan,20-02-12,0,0
Afghanistan,20-02-13,0,0
Afghanistan,20-02-14,0,0
Afghanistan,20-02-15,0,0
Afghanistan,20-02-16,0,0
Afghanistan,20-02-17,0,0
Afghanistan,20-02-18,0,0
Afghanistan,20-02-19,0,0
Afghanistan,20-02-20,0,0
Afghanistan,20-02-21,0,0
Afghanistan,20-02-22,0,0
Afghanistan,20-02-23,0,0
Afghanistan,20-02-24,1,1
Afghanistan,20-02-25,1,0
Afghanistan,20-02-26,1,0
Afghanistan,20-02-27,1,0
Afghanistan,20-02-28,1,0
Afghanistan,20-02-29,1,0
Afghanistan,20-03-01,1,0
Afghanistan,20-03-02,1,0
Afghanistan,20-03-03,1,0
Afghanistan,20-03-04,1,0
Afghanistan,20-03-05,1,0
Afghanistan,20-03-06,1,0
Afghanistan,20-03-07,1,0
Afghanistan,20-03-08,4,3
Afghanistan,20-03-09,4,0
Afghanistan,20-03-10,5,1
Afghanistan,20-03-11,7,2
Afghanistan,20-03-12,7,0
Afghanistan,20-03-13,7,0
Afghanistan,20-03-14,11,4
Afghanistan,20-03-15,16,5
Afghanistan,20-03-16,21,5
Afghanistan,20-03-17,22,1
Afghanistan,20-03-18,22,0
Afghanistan,20-03-19,22,0
Afghanistan,20-03-20,24,2
Afghanistan,20-03-21,24,0
Afghanistan,20-03-22,40,16
Afghanistan,20-03-23,40,0
Afghanistan,20-03-24,74,34
Afghanistan,20-03-25,84,10
Afghanistan,20-03-26,94,10
Afghanistan,20-03-27,110,16
Afghanistan,20-03-28,110,0
Afghanistan,20-03-29,120,10
Afghanistan,20-03-30,170,50
Afghanistan,20-03-31,174,4
Afghanistan,20-04-01,237,63
Afghanistan,20-04-02,273,36
Afghanistan,20-04-03,281,8
Afghanistan,20-04-04,299,18
Afghanistan,20-04-05,349,50
Afghanistan,20-04-06,367,18
Afghanistan,20-04-07,423,56
Afghanistan,20-04-08,444,21
Afghanistan,20-04-09,484,40
Afghanistan,20-04-10,521,37
Afghanistan,20-04-11,555,34
Afghanistan,20-04-12,607,52
Afghanistan,20-04-13,665,58
Afghanistan,20-04-14,714,49
Afghanistan,20-04-15,784,70
Afghanistan,20-04-16,840,56
Afghanistan,20-04-17,906,66
Afghanistan,20-04-18,933,27
Afghanistan,20-04-19,996,63
Afghanistan,20-04-20,1026,30
Afghanistan,20-04-21,1092,66
Afghanistan,20-04-22,1176,84
Afghanistan,20-04-23,1279,103
Afghanistan,20-04-24,1351,72
Afghanistan,20-04-25,1463,112
Afghanistan,20-04-26,1531,68
Afghanistan,20-04-27,1703,172
Afghanistan,20-04-28,1828,125
Afghanistan,20-04-29,1939,111
Afghanistan,20-04-30,2171,232
Afghanistan,20-05-01,2335,164
Afghanistan,20-05-02,2469,134
Afghanistan,20-05-03,2704,235
Afghanistan,20-05-04,2894,190
Afghanistan,20-05-05,3224,330
Afghanistan,20-05-06,3392,168
Afghanistan,20-05-07,3563,171
Afghanistan,20-05-08,3778,215
Afghanistan,20-05-09,4033,255
Afghanistan,20-05-10,4402,369
Afghanistan,20-05-11,4687,285
Afghanistan,20-05-12,4963,276
Afghanistan,20-05-13,5226,263
Afghanistan,20-05-14,5639,413
Afghanistan,20-05-15,6053,414
Afghanistan,20-05-16,6402,349
Afghanistan,20-05-17,6664,262
Afghanistan,20-05-18,7072,408
Afghanistan,20-05-19,7653,581
Afghanistan,20-05-20,8145,492
Afghanistan,20-05-21,8676,531
Afghanistan,20-05-22,9216,540
Afghanistan,20-05-23,9998,782
Afghanistan,20-05-24,10582,584
Afghanistan,20-05-25,11173,591
Afghanistan,20-05-26,11831,658
Afghanistan,20-05-27,12456,625
Afghanistan,20-05-28,13036,580
Afghanistan,20-05-29,13659,623
Afghanistan,20-05-30,14525,866
Afghanistan,20-05-31,15205,680
Afghanistan,20-06-01,15750,545
Afghanistan,20-06-02,16509,759
Afghanistan,20-06-03,17267,758
Afghanistan,20-06-04,18054,787
Afghanistan,20-06-05,18969,915
Afghanistan,20-06-06,19551,582
Afghanistan,20-06-07,20342,791
Afghanistan,20-06-08,20917,575
Afghanistan,20-06-09,21459,542
Afghanistan,20-06-10,22142,683
Afghanistan,20-06-11,22890,748
Afghanistan,20-06-12,23546,656
Albania,20-01-22,0,0
Albania,20-01-23,0,0
Albania,20-01-24,0,0
Albania,20-01-25,0,0
Albania,20-01-26,0,0
Albania,20-01-27,0,0
Albania,20-01-28,0,0
Albania,20-01-29,0,0
Albania,20-01-30,0,0
Albania,20-01-31,0,0
Albania,20-02-01,0,0
Albania,20-02-02,0,0
Albania,20-02-03,0,0
Albania,20-02-04,0,0
Albania,20-02-05,0,0
Albania,20-02-06,0,0
Albania,20-02-07,0,0
Albania,20-02-08,0,0
Albania,20-02-09,0,0
Albania,20-02-10,0,0
Albania,20-02-11,0,0
Albania,20-02-12,0,0
Albania,20-02-13,0,0
Albania,20-02-14,0,0
Albania,20-02-15,0,0
Albania,20-02-16,0,0
Albania,20-02-17,0,0
Albania,20-02-18,0,0
Albania,20-02-19,0,0
Albania,20-02-20,0,0
Albania,20-02-21,0,0
Albania,20-02-22,0,0
Albania,20-02-23,0,0
Albania,20-02-24,0,0
Albania,20-02-25,0,0
Albania,20-02-26,0,0
Albania,20-02-27,0,0
Albania,20-02-28,0,0
Albania,20-02-29,0,0
Albania,20-03-01,0,0
Albania,20-03-02,0,0
Albania,20-03-03,0,0
Albania,20-03-04,0,0
Albania,20-03-05,0,0
Albania,20-03-06,0,0
Albania,20-03-07,0,0
Albania,20-03-08,0,0
Albania,20-03-09,2,2
Albania,20-03-10,10,8
Albania,20-03-11,12,2
Albania,20-03-12,23,11
Albania,20-03-13,33,10
Albania,20-03-14,38,5
Albania,20-03-15,42,4
Albania,20-03-16,51,9
Albania,20-03-17,55,4
Albania,20-03-18,59,4
Albania,20-03-19,64,5
Albania,20-03-20,70,6
Albania,20-03-21,76,6
Albania,20-03-22,89,13
Albania,20-03-23,104,15
Albania,20-03-24,123,19
Albania,20-03-25,146,23
Albania,20-03-26,174,28
Albania,20-03-27,186,12
Albania,20-03-28,197,11
Albania,20-03-29,212,15
Albania,20-03-30,223,11
Albania,20-03-31,243,20
Albania,20-04-01,259,16
Albania,20-04-02,277,18
Albania,20-04-03,304,27
Albania,20-04-04,333,29
Albania,20-04-05,361,28
Albania,20-04-06,377,16
Albania,20-04-07,383,6
Albania,20-04-08,400,17
Albania,20-04-09,409,9
Albania,20-04-10,416,7
Albania,20-04-11,433,17
Albania,20-04-12,446,13
Albania,20-04-13,467,21
Albania,20-04-14,475,8
Albania,20-04-15,494,19
Albania,20-04-16,518,24
Albania,20-04-17,539,21
Albania,20-04-18,548,9
Albania,20-04-19,562,14
Albania,20-04-20,584,22
Albania,20-04-21,609,25
Albania,20-04-22,634,25
Albania,20-04-23,663,29
Albania,20-04-24,678,15
Albania,20-04-25,712,34
Albania,20-04-26,726,14
Albania,20-04-27,736,10
Albania,20-04-28,750,14
Albania,20-04-29,766,16
Albania,20-04-30,773,7
Albania,20-05-01,782,9
Albania,20-05-02,789,7
Albania,20-05-03,795,6
Albania,20-05-04,803,8
Albania,20-05-05,820,17
Albania,20-05-06,832,12
Albania,20-05-07,842,10
Albania,20-05-08,850,8
Albania,20-05-09,856,6
Albania,20-05-10,868,12
Albania,20-05-11,872,4
Albania,20-05-12,876,4
Albania,20-05-13,880,4
Albania,20-05-14,898,18
Albania,20-05-15,916,18
Albania,20-05-16,933,17
Albania,20-05-17,946,13
Albania,20-05-18,948,2
Albania,20-05-19,949,1
Albania,20-05-20,964,15
Albania,20-05-21,969,5
Albania,20-05-22,981,12
Albania,20-05-23,989,8
Albania,20-05-24,998,9
Albania,20-05-25,1004,6
Albania,20-05-26,1029,25
Albania,20-05-27,1050,21
Albania,20-05-28,1076,26
Albania,20-05-29,1099,23
Albania,20-05-30,1122,23
Albania,20-05-31,1137,15
Albania,20-06-01,1143,6
Albania,20-06-02,1164,21
Albania,20-06-03,1184,20
Albania,20-06-04,1197,13
Albania,20-06-05,1212,15
Albania,20-06-06,1232,20
Albania,20-06-07,1246,14
Albania,20-06-08,1263,17
Albania,20-06-09,1299,36
Albania,20-06-10,1341,42
Albania,20-06-11,1385,44
Albania,20-06-12,1416,31
Algeria,20-01-22,0,0
Algeria,20-01-23,0,0
Algeria,20-01-24,0,0
Algeria,20-01-25,0,0
Algeria,20-01-26,0,0
Algeria,20-01-27,0,0
Algeria,20-01-28,0,0
Algeria,20-01-29,0,0
Algeria,20-01-30,0,0
Algeria,20-01-31,0,0
Algeria,20-02-01,0,0
Algeria,20-02-02,0,0
Algeria,20-02-03,0,0
Algeria,20-02-04,0,0
Algeria,20-02-05,0,0
Algeria,20-02-06,0,0
Algeria,20-02-07,0,0
Algeria,20-02-08,0,0
Algeria,20-02-09,0,0
Algeria,20-02-10,0,0
Algeria,20-02-11,0,0
Algeria,20-02-12,0,0
Algeria,20-02-13,0,0
Algeria,20-02-14,0,0
Algeria,20-02-15,0,0
Algeria,20-02-16,0,0
Algeria,20-02-17,0,0
Algeria,20-02-18,0,0
Algeria,20-02-19,0,0
Algeria,20-02-20,0,0
Algeria,20-02-21,0,0
Algeria,20-02-22,0,0
Algeria,20-02-23,0,0
Algeria,20-02-24,0,0
Algeria,20-02-25,1,1
Algeria,20-02-26,1,0
Algeria,20-02-27,1,0
Algeria,20-02-28,1,0
Algeria,20-02-29,1,0
Algeria,20-03-01,1,0
Algeria,20-03-02,3,2
Algeria,20-03-03,5,2
Algeria,20-03-04,12,7
Algeria,20-03-05,12,0
Algeria,20-03-06,17,5
Algeria,20-03-07,17,0
Algeria,20-03-08,19,2
Algeria,20-03-09,20,1
Algeria,20-03-10,20,0
Algeria,20-03-11,20,0
Algeria,20-03-12,24,4
Algeria,20-03-13,26,2
Algeria,20-03-14,37,11
Algeria,20-03-15,48,11
Algeria,20-03-16,54,6
Algeria,20-03-17,60,6
Algeria,20-03-18,74,14
Algeria,20-03-19,87,13
Algeria,20-03-20,90,3
Algeria,20-03-21,139,49
Algeria,20-03-22,201,62
Algeria,20-03-23,230,29
Algeria,20-03-24,264,34
Algeria,20-03-25,302,38
Algeria,20-03-26,367,65
Algeria,20-03-27,409,42
Algeria,20-03-28,454,45
Algeria,20-03-29,511,57
Algeria,20-03-30,584,73
Algeria,20-03-31,716,132
Algeria,20-04-01,847,131
Algeria,20-04-02,986,139
Algeria,20-04-03,1171,185
Algeria,20-04-04,1251,80
Algeria,20-04-05,1320,69
Algeria,20-04-06,1423,103
Algeria,20-04-07,1468,45
Algeria,20-04-08,1572,104
Algeria,20-04-09,1666,94
Algeria,20-04-10,1761,95
Algeria,20-04-11,1825,64
Algeria,20-04-12,1914,89
Algeria,20-04-13,1983,69
Algeria,20-04-14,2070,87
Algeria,20-04-15,2160,90
Algeria,20-04-16,2268,108
Algeria,20-04-17,2418,150
Algeria,20-04-18,2534,116
Algeria,20-04-19,2629,95
Algeria,20-04-20,2718,89
Algeria,20-04-21,2811,93
Algeria,20-04-22,2910,99
Algeria,20-04-23,3007,97
Algeria,20-04-24,3127,120
Algeria,20-04-25,3256,129
Algeria,20-04-26,3382,126
Algeria,20-04-27,3517,135
Algeria,20-04-28,3649,132
Algeria,20-04-29,3848,199
Algeria,20-04-30,4006,158
Algeria,20-05-01,4154,148
Algeria,20-05-02,4295,141
Algeria,20-05-03,4474,179
Algeria,20-05-04,4648,174
Algeria,20-05-05,4838,190
Algeria,20-05-06,4997,159
Algeria,20-05-07,5182,185
Algeria,20-05-08,5369,187
Algeria,20-05-09,5558,189
Algeria,20-05-10,5723,165
Algeria,20-05-11,5891,168
Algeria,20-05-12,6067,176
Algeria,20-05-13,6253,186
Algeria,20-05-14,6442,189
Algeria,20-05-15,6629,187
Algeria,20-05-16,6821,192
Algeria,20-05-17,7019,198
Algeria,20-05-18,7201,182
Algeria,20-05-19,7377,176
Algeria,20-05-20,7542,165
Algeria,20-05-21,7728,186
Algeria,20-05-22,7918,190
Algeria,20-05-23,8113,195
Algeria,20-05-24,8306,193
Algeria,20-05-25,8503,197
Algeria,20-05-26,8697,194
Algeria,20-05-27,8857,160
Algeria,20-05-28,8997,140
Algeria,20-05-29,9134,137
Algeria,20-05-30,9267,133
Algeria,20-05-31,9394,127
Algeria,20-06-01,9513,119
Algeria,20-06-02,9626,113
Algeria,20-06-03,9733,107
Algeria,20-06-04,9831,98
Algeria,20-06-05,9935,104
Algeria,20-06-06,10050,115
Algeria,20-06-07,10154,104
Algeria,20-06-08,10265,111
Algeria,20-06-09,10382,117
Algeria,20-06-10,10484,102
Algeria,20-06-11,10589,105
Algeria,20-06-12,10698,109
Andorra,20-01-22,0,0
Andorra,20-01-23,0,0
Andorra,20-01-24,0,0
Andorra,20-01-25,0,0
Andorra,20-01-26,0,0
Andorra,20-01-27,0,0
Andorra,20-01-28,0,0
Andorra,20-01-29,0,0
Andorra,20-01-30,0,0
Andorra,20-01-31,0,0
Andorra,20-02-01,0,0
Andorra,20-02-02,0,0
Andorra,20-02-03,0,0
Andorra,20-02-04,0,0
Andorra,20-02-05,0,0
Andorra,20-02-06,0,0
Andorra,20-02-07,0,0
Andorra,20-02-08,0,0
Andorra,20-02-09,0,0
Andorra,20-02-10,0,0
Andorra,20-02-11,0,0
Andorra,20-02-12,0,0
Andorra,20-02-13,0,0
Andorra,20-02-14,0,0
Andorra,20-02-15,0,0
Andorra,20-02-16,0,0
Andorra,20-02-17,0,0
Andorra,20-02-18,0,0
Andorra,20-02-19,0,0
Andorra,20-02-20,0,0
Andorra,20-02-21,0,0
Andorra,20-02-22,0,0
Andorra,20-02-23,0,0
Andorra,20-02-24,0,0
Andorra,20-02-25,0,0
Andorra,20-02-26,0,0
Andorra,20-02-27,0,0
Andorra,20-02-28,0,0
Andorra,20-02-29,0,0
Andorra,20-03-01,0,0
Andorra,20-03-02,1,1
Andorra,20-03-03,1,0
Andorra,20-03-04,1,0
Andorra,20-03-05,1,0
Andorra,20-03-06,1,0
Andorra,20-03-07,1,0
Andorra,20-03-08,1,0
Andorra,20-03-09,1,0
Andorra,20-03-10,1,0
Andorra,20-03-11,1,0
Andorra,20-03-12,1,0
Andorra,20-03-13,1,0
Andorra,20-03-14,1,0
Andorra,20-03-15,1,0
Andorra,20-03-16,2,1
Andorra,20-03-17,39,37
Andorra,20-03-18,39,0
Andorra,20-03-19,53,14
Andorra,20-03-20,75,22
Andorra,20-03-21,88,13
Andorra,20-03-22,113,25
Andorra,20-03-23,133,20
Andorra,20-03-24,164,31
Andorra,20-03-25,188,24
Andorra,20-03-26,224,36
Andorra,20-03-27,267,43
Andorra,20-03-28,308,41
Andorra,20-03-29,334,26
Andorra,20-03-30,370,36
Andorra,20-03-31,376,6
Andorra,20-04-01,390,14
Andorra,20-04-02,428,38
Andorra,20-04-03,439,11
Andorra,20-04-04,466,27
Andorra,20-04-05,501,35
Andorra,20-04-06,525,24
Andorra,20-04-07,545,20
Andorra,20-04-08,564,19
Andorra,20-04-09,583,19
Andorra,20-04-10,601,18
Andorra,20-04-11,601,0
Andorra,20-04-12,638,37
Andorra,20-04-13,646,8
Andorra,20-04-14,659,13
Andorra,20-04-15,673,14
Andorra,20-04-16,673,0
Andorra,20-04-17,696,23
Andorra,20-04-18,704,8
Andorra,20-04-19,713,9
Andorra,20-04-20,717,4
Andorra,20-04-21,717,0
Andorra,20-04-22,723,6
Andorra,20-04-23,723,0
Andorra,20-04-24,731,8
Andorra,20-04-25,738,7
Andorra,20-04-26,738,0
Andorra,20-04-27,743,5
Andorra,20-04-28,743,0
Andorra,20-04-29,743,0
Andorra,20-04-30,745,2
Andorra,20-05-01,745,0
Andorra,20-05-02,747,2
Andorra,20-05-03,748,1
Andorra,20-05-04,750,2
Andorra,20-05-05,751,1
Andorra,20-05-06,751,0
Andorra,20-05-07,752,1
Andorra,20-05-08,752,0
Andorra,20-05-09,754,2
Andorra,20-05-10,755,1
Andorra,20-05-11,755,0
Andorra,20-05-12,758,3
Andorra,20-05-13,760,2
Andorra,20-05-14,761,1
Andorra,20-05-15,761,0
Andorra,20-05-16,761,0
Andorra,20-05-17,761,0
Andorra,20-05-18,761,0
Andorra,20-05-19,761,0
Andorra,20-05-20,762,1
Andorra,20-05-21,762,0
Andorra,20-05-22,762,0
Andorra,20-05-23,762,0
Andorra,20-05-24,762,0
Andorra,20-05-25,763,1
Andorra,20-05-26,763,0
Andorra,20-05-27,763,0
Andorra,20-05-28,763,0
Andorra,20-05-29,764,1
Andorra,20-05-30,764,0
Andorra,20-05-31,764,0
Andorra,20-06-01,765,1
Andorra,20-06-02,844,79
Andorra,20-06-03,851,7
Andorra,20-06-04,852,1
Andorra,20-06-05,852,0
Andorra,20-06-06,852,0
Andorra,20-06-07,852,0
Andorra,20-06-08,852,0
Andorra,20-06-09,852,0
Andorra,20-06-10,852,0
Andorra,20-06-11,852,0
Andorra,20-06-12,853,1
Angola,20-01-22,0,0
Angola,20-01-23,0,0
Angola,20-01-24,0,0
Angola,20-01-25,0,0
Angola,20-01-26,0,0
Angola,20-01-27,0,0
Angola,20-01-28,0,0
Angola,20-01-29,0,0
Angola,20-01-30,0,0
Angola,20-01-31,0,0
Angola,20-02-01,0,0
Angola,20-02-02,0,0
Angola,20-02-03,0,0
Angola,20-02-04,0,0
Angola,20-02-05,0,0
Angola,20-02-06,0,0
Angola,20-02-07,0,0
Angola,20-02-08,0,0
Angola,20-02-09,0,0
Angola,20-02-10,0,0
Angola,20-02-11,0,0
Angola,20-02-12,0,0
Angola,20-02-13,0,0
Angola,20-02-14,0,0
Angola,20-02-15,0,0
Angola,20-02-16,0,0
Angola,20-02-17,0,0
Angola,20-02-18,0,0
Angola,20-02-19,0,0
Angola,20-02-20,0,0
Angola,20-02-21,0,0
Angola,20-02-22,0,0
Angola,20-02-23,0,0
Angola,20-02-24,0,0
Angola,20-02-25,0,0
Angola,20-02-26,0,0
Angola,20-02-27,0,0
Angola,20-02-28,0,0
Angola,20-02-29,0,0
Angola,20-03-01,0,0
Angola,20-03-02,0,0
Angola,20-03-03,0,0
Angola,20-03-04,0,0
Angola,20-03-05,0,0
Angola,20-03-06,0,0
Angola,20-03-07,0,0
Angola,20-03-08,0,0
Angola,20-03-09,0,0
Angola,20-03-10,0,0
Angola,20-03-11,0,0
Angola,20-03-12,0,0
Angola,20-03-13,0,0
Angola,20-03-14,0,0
Angola,20-03-15,0,0
Angola,20-03-16,0,0
Angola,20-03-17,0,0
Angola,20-03-18,0,0
Angola,20-03-19,0,0
Angola,20-03-20,1,1
Angola,20-03-21,2,1
Angola,20-03-22,2,0
Angola,20-03-23,3,1
Angola,20-03-24,3,0
Angola,20-03-25,3,0
Angola,20-03-26,4,1
Angola,20-03-27,4,0
Angola,20-03-28,5,1
Angola,20-03-29,7,2
Angola,20-03-30,7,0
Angola,20-03-31,7,0
Angola,20-04-01,8,1
Angola,20-04-02,8,0
Angola,20-04-03,8,0
Angola,20-04-04,10,2
Angola,20-04-05,14,4
Angola,20-04-06,16,2
Angola,20-04-07,17,1
Angola,20-04-08,19,2
Angola,20-04-09,19,0
Angola,20-04-10,19,0
Angola,20-04-11,19,0
Angola,20-04-12,19,0
Angola,20-04-13,19,0
Angola,20-04-14,19,0
Angola,20-04-15,19,0
Angola,20-04-16,19,0
Angola,20-04-17,19,0
Angola,20-04-18,24,5
Angola,20-04-19,24,0
Angola,20-04-20,24,0
Angola,20-04-21,24,0
Angola,20-04-22,25,1
Angola,20-04-23,25,0
Angola,20-04-24,25,0
Angola,20-04-25,25,0
Angola,20-04-26,26,1
Angola,20-04-27,27,1
Angola,20-04-28,27,0
Angola,20-04-29,27,0
Angola,20-04-30,27,0
Angola,20-05-01,30,3
Angola,20-05-02,35,5
Angola,20-05-03,35,0
Angola,20-05-04,35,0
Angola,20-05-05,36,1
Angola,20-05-06,36,0
Angola,20-05-07,36,0
Angola,20-05-08,43,7
Angola,20-05-09,43,0
Angola,20-05-10,45,2
Angola,20-05-11,45,0
Angola,20-05-12,45,0
Angola,20-05-13,45,0
Angola,20-05-14,48,3
Angola,20-05-15,48,0
Angola,20-05-16,48,0
Angola,20-05-17,48,0
Angola,20-05-18,50,2
Angola,20-05-19,52,2
Angola,20-05-20,52,0
Angola,20-05-21,58,6
Angola,20-05-22,60,2
Angola,20-05-23,61,1
Angola,20-05-24,69,8
Angola,20-05-25,70,1
Angola,20-05-26,70,0
Angola,20-05-27,71,1
Angola,20-05-28,74,3
Angola,20-05-29,81,7
Angola,20-05-30,84,3
Angola,20-05-31,86,2
Angola,20-06-01,86,0
Angola,20-06-02,86,0
Angola,20-06-03,86,0
Angola,20-06-04,86,0
Angola,20-06-05,86,0
Angola,20-06-06,88,2
Angola,20-06-07,91,3
Angola,20-06-08,92,1
Angola,20-06-09,96,4
Angola,20-06-10,113,17
Angola,20-06-11,118,5
Angola,20-06-12,130,12
Antigua and Barbuda,20-01-22,0,0
Antigua and Barbuda,20-01-23,0,0
Antigua and Barbuda,20-01-24,0,0
Antigua and Barbuda,20-01-25,0,0
Antigua and Barbuda,20-01-26,0,0
Antigua and Barbuda,20-01-27,0,0
Antigua and Barbuda,20-01-28,0,0
Antigua and Barbuda,20-01-29,0,0
Antigua and Barbuda,20-01-30,0,0
Antigua and Barbuda,20-01-31,0,0
Antigua and Barbuda,20-02-01,0,0
Antigua and Barbuda,20-02-02,0,0
Antigua and Barbuda,20-02-03,0,0
Antigua and Barbuda,20-02-04,0,0
Antigua and Barbuda,20-02-05,0,0
Antigua and Barbuda,20-02-06,0,0
Antigua and Barbuda,20-02-07,0,0
Antigua and Barbuda,20-02-08,0,0
Antigua and Barbuda,20-02-09,0,0
Antigua and Barbuda,20-02-10,0,0
Antigua and Barbuda,20-02-11,0,0
Antigua and Barbuda,20-02-12,0,0
Antigua and Barbuda,20-02-13,0,0
Antigua and Barbuda,20-02-14,0,0
Antigua and Barbuda,20-02-15,0,0
Antigua and Barbuda,20-02-16,0,0
Antigua and Barbuda,20-02-17,0,0
Antigua and Barbuda,20-02-18,0,0
Antigua and Barbuda,20-02-19,0,0
Antigua and Barbuda,20-02-20,0,0
Antigua and Barbuda,20-02-21,0,0
Antigua and Barbuda,20-02-22,0,0
Antigua and Barbuda,20-02-23,0,0
Antigua and Barbuda,20-02-24,0,0
Antigua and Barbuda,20-02-25,0,0
Antigua and Barbuda,20-02-26,0,0
Antigua and Barbuda,20-02-27,0,0
Antigua and Barbuda,20-02-28,0,0
Antigua and Barbuda,20-02-29,0,0
Antigua and Barbuda,20-03-01,0,0
Antigua and Barbuda,20-03-02,0,0
Antigua and Barbuda,20-03-03,0,0
Antigua and Barbuda,20-03-04,0,0
Antigua and Barbuda,20-03-05,0,0
Antigua and Barbuda,20-03-06,0,0
Antigua and Barbuda,20-03-07,0,0
Antigua and Barbuda,20-03-08,0,0
Antigua and Barbuda,20-03-09,0,0
Antigua and Barbuda,20-03-10,0,0
Antigua and Barbuda,20-03-11,0,0
Antigua and Barbuda,20-03-12,0,0
Antigua and Barbuda,20-03-13,1,1
Antigua and Barbuda,20-03-14,1,0
Antigua and Barbuda,20-03-15,1,0
Antigua and Barbuda,20-03-16,1,0
Antigua and Barbuda,20-03-17,1,0
Antigua and Barbuda,20-03-18,1,0
Antigua and Barbuda,20-03-19,1,0
Antigua and Barbuda,20-03-20,1,0
Antigua and Barbuda,20-03-21,1,0
Antigua and Barbuda,20-03-22,1,0
Antigua and Barbuda,20-03-23,3,2
Antigua and Barbuda,20-03-24,3,0
Antigua and Barbuda,20-03-25,3,0
Antigua and Barbuda,20-03-26,7,4
Antigua and Barbuda,20-03-27,7,0
Antigua and Barbuda,20-03-28,7,0
Antigua and Barbuda,20-03-29,7,0
Antigua and Barbuda,20-03-30,7,0
Antigua and Barbuda,20-03-31,7,0
Antigua and Barbuda,20-04-01,7,0
Antigua and Barbuda,20-04-02,9,2
Antigua and Barbuda,20-04-03,15,6
Antigua and Barbuda,20-04-04,15,0
Antigua and Barbuda,20-04-05,15,0
Antigua and Barbuda,20-04-06,15,0
Antigua and Barbuda,20-04-07,19,4
Antigua and Barbuda,20-04-08,19,0
Antigua and Barbuda,20-04-09,19,0
Antigua and Barbuda,20-04-10,19,0
Antigua and Barbuda,20-04-11,21,2
Antigua and Barbuda,20-04-12,21,0
Antigua and Barbuda,20-04-13,23,2
Antigua and Barbuda,20-04-14,23,0
Antigua and Barbuda,20-04-15,23,0
Antigua and Barbuda,20-04-16,23,0
Antigua and Barbuda,20-04-17,23,0
Antigua and Barbuda,20-04-18,23,0
Antigua and Barbuda,20-04-19,23,0
Antigua and Barbuda,20-04-20,23,0
Antigua and Barbuda,20-04-21,23,0
Antigua and Barbuda,20-04-22,24,1
Antigua and Barbuda,20-04-23,24,0
Antigua and Barbuda,20-04-24,24,0
Antigua and Barbuda,20-04-25,24,0
Antigua and Barbuda,20-04-26,24,0
Antigua and Barbuda,20-04-27,24,0
Antigua and Barbuda,20-04-28,24,0
Antigua and Barbuda,20-04-29,24,0
Antigua and Barbuda,20-04-30,24,0
Antigua and Barbuda,20-05-01,25,1
Antigua and Barbuda,20-05-02,25,0
Antigua and Barbuda,20-05-03,25,0
Antigua and Barbuda,20-05-04,25,0
Antigua and Barbuda,20-05-05,25,0
Antigua and Barbuda,20-05-06,25,0
Antigua and Barbuda,20-05-07,25,0
Antigua and Barbuda,20-05-08,25,0
Antigua and Barbuda,20-05-09,25,0
Antigua and Barbuda,20-05-10,25,0
Antigua and Barbuda,20-05-11,25,0
Antigua and Barbuda,20-05-12,25,0
Antigua and Barbuda,20-05-13,25,0
Antigua and Barbuda,20-05-14,25,0
Antigua and Barbuda,20-05-15,25,0
Antigua and Barbuda,20-05-16,25,0
Antigua and Barbuda,20-05-17,25,0
Antigua and Barbuda,20-05-18,25,0
Antigua and Barbuda,20-05-19,25,0
Antigua and Barbuda,20-05-20,25,0
Antigua and Barbuda,20-05-21,25,0
Antigua and Barbuda,20-05-22,25,0
Antigua and Barbuda,20-05-23,25,0
Antigua and Barbuda,20-05-24,25,0
Antigua and Barbuda,20-05-25,25,0
Antigua and Barbuda,20-05-26,25,0
Antigua and Barbuda,20-05-27,25,0
Antigua and Barbuda,20-05-28,25,0
Antigua and Barbuda,20-05-29,25,0
Antigua and Barbuda,20-05-30,25,0
Antigua and Barbuda,20-05-31,26,1
Antigua and Barbuda,20-06-01,26,0
Antigua and Barbuda,20-06-02,26,0
Antigua and Barbuda,20-06-03,26,0
Antigua and Barbuda,20-06-04,26,0
Antigua and Barbuda,20-06-05,26,0
Antigua and Barbuda,20-06-06,26,0
Antigua and Barbuda,20-06-07,26,0
Antigua and Barbuda,20-06-08,26,0
Antigua and Barbuda,20-06-09,26,0
Antigua and Barbuda,20-06-10,26,0
Antigua and Barbuda,20-06-11,26,0
Antigua and Barbuda,20-06-12,26,0
Argentina,20-01-22,0,0
Argentina,20-01-23,0,0
Argentina,20-01-24,0,0
Argentina,20-01-25,0,0
Argentina,20-01-26,0,0
Argentina,20-01-27,0,0
Argentina,20-01-28,0,0
Argentina,20-01-29,0,0
